CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
P18|CRISTALEN CRISTAL 0.80*1.80|CRISTALEN CRISTAL 0.80*1.80|PLA|Cristalen|CRISTAL|1.8|0.8|2.8|381|
P17|CRISTALEN CRISTAL 0.70*1.80|CRISTALEN CRISTAL 0.70*1.80|PLA|Cristalen|CRISTAL|1.8|0.7|2.8|245|
P265|DECORLEN CRISTAL 1.20*1.80|DECORLEN CRISTAL 1.20*1.80|PLA|Decorlen|CRISTAL|1.8|1.2|2.8|420|
P264|DECORLEN CRISTAL 1.00*1.80|DECORLEN CRISTAL 1.00*1.80|PLA|Decorlen|CRISTAL|1.8|1|2.8|350|
P263|DECORLEN CRISTAL 0.80*1.80|DECORLEN CRISTAL 0.80*1.80|PLA|Decorlen|CRISTAL|1.8|0.8|2.8|381|
P262|DECORLEN CRISTAL 0.70*1.80|DECORLEN CRISTAL 0.70*1.80|PLA|Decorlen|CRISTAL|1.8|0.7|2.8|245|
P654|DOMINO OPALINO 1.20*1.80|DOMINO OPALINO 1.20*1.80|PLA|Domino|BLANCO|1.8|1.2|2.8|420|
P653|DOMINO OPALINO .100*1.80|DOMINO OPALINO .100*1.80|PLA|Domino|BLANCO|1.8|0.8|2.8|381|
P652|DOMINO OPALINO .80*1.80|DOMINO OPALINO .80*1.80|PLA|Domino|BLANCO|1.8|1|2.8|350|
P651|DOMINO OPALINO .70*1.80|DOMINO OPALINO .70*1.80|PLA|Domino|BLANCO|1.8|0.7|2.8|245|
P650|DOMINO BRONCE 1.20*1.80|DOMINO BRONCE 1.20*1.80|PLA|Domino|BRONCE|1.8|1.2|2.8|420|
P649|DOMINO BRONCE 1.00*1.80|DOMINO BRONCE 1.00*1.80|PLA|Domino|BRONCE|1.8|1|2.8|350|
P648|DOMINO BRONCE 0.80*1.80|DOMINO BRONCE 0.80*1.80|PLA|Domino|BRONCE|1.8|0.8|2.8|381|
P647|DOMINO BRONCE  .70*180|DOMINO BRONCE  .70*180|PLA|Domino|BRONCE|1.8|0.7|2.8|245|
P646|DOMINO HUMO 1.20*1.80|DOMINO HUMO 1.20*1.80|PLA|Domino|HUMO|1.8|1.2|2.8|420|
P645|DOMINO HUMO 1.00*1.80|DOMINO HUMO 1.00*1.80|PLA|Domino|HUMO|1.8|1|2.8|350|
P644|DOMINO HUMO .80*180|DOMINO HUMO .80*180|PLA|Domino|HUMO|1.8|0.8|2.8|381|
P643|DOMINO HUMO .70*180|DOMINO HUMO .70*180|PLA|Domino|HUMO|1.8|0.7|2.8|245|
P642|DOMINO AZUL 1.20*1.80|DOMINO AZUL 1.20*1.80|PLA|Domino|AZUL|1.8|1.2|2.8|420|
P641|DOMINO AZUL 1.00*1.80|DOMINO AZUL 1.00*1.80|PLA|Domino|AZUL|1.8|1|2.8|350|
P640|DOMINO AZUL 0.80*180|DOMINO AZUL 0.80*180|PLA|Domino|AZUL|1.8|0.8|2.8|381|
P639|DOMINO AZUL 0.70*180|DOMINO AZUL 0.70*180|PLA|Domino|AZUL|1.8|0.7|2.8|245|
P638|DOMINO CRISTAL 1.20*1.80|DOMINO CRISTAL 1.20*1.80|PLA|Domino|CRISTAL|1.8|1.2|2.8|420|
P637|DOMINO CRISTAL 1.00*1.80|DOMINO CRISTAL 1.00*1.80|PLA|Domino|CRISTAL|1.8|1|2.8|350|
P636|DOMINO CRISTAL .80*1.80|DOMINO CRISTAL .80*1.80|PLA|Domino|CRISTAL|1.8|0.8|2.8|381|
P635|DOMINO CRISTAL .70*1.80|DOMINO CRISTAL .70*1.80|PLA|Domino|CRISTAL|1.8|0.7|2.8|245|
P626|ESPUMA CRISTAL 1.20*1.80|ESPUMA CRISTAL 1.20*1.80|PLA|Espuma|CRISTAL|1.8|1.2|2.8|420|
P625|ESPUMA CRISTAL 1.00*1.80|ESPUMA CRISTAL 1.00*1.80|PLA|Espuma|CRISTAL|1.8|1|2.8|350|
P624|ESPUMA CRISTAL 0.80*18.0|ESPUMA CRISTAL 0.80*18.0|PLA|Espuma|CRISTAL|1.8|0.8|2.8|381|
P623|ESPUMA CRISTAL  0.70*1.80|ESPUMA CRISTAL  0.70*1.80|PLA|Espuma|CRISTAL|1.8|0.7|2.8|245|
P622|ESPUMA HUMO 1.20*1.80|ESPUMA HUMO 1.20*1.80|PLA|Espuma|CRISTAL|1.8|1.2|2.8|420|
P621|ESPUMA HUMO 1.00*1.80|ESPUMA HUMO 1.00*1.80|PLA|Espuma|CRISTAL|1.8|1|2.8|350|
P620|ESPUMA HUMO 0.80*1.80|ESPUMA HUMO 0.80*1.80|PLA|Espuma|CRISTAL|1.8|0.8|2.8|381|
P619|ESPUMA HUMO 0.70*1.80|ESPUMA HUMO 0.70*1.80|PLA|Espuma|CRISTAL|1.8|0.7|2.8|245|
P634|FILIGRANA SALMON 1.20*1.80|FILIGRANA SALMON 1.20*1.80|PLA|Filigrana|SALMON|1.8|1.2|2.8|420|
P633|FILIGRANA SALMON 1.00*1.80|FILIGRANA SALMON 1.00*1.80|PLA|Filigrana|SALMON|1.8|1|2.8|350|
P632|FILIGRANA SALMON .80*180|FILIGRANA SALMON .80*180|PLA|Filigrana|SALMON|1.8|0.8|2.8|381|
P631|FILIGRANA SALMON .70*180|FILIGRANA SALMON .70*180|PLA|Filigrana|SALMON|1.8|0.7|2.8|245|
P377|FILIGRANA VERDE 1.20*1.80|FILIGRANA VERDE 1.20*1.80|PLA|Filigrana|VERDE|1.8|1.2|2.8|420|
P376|FILIGRANA VERDE 1.00*1.80|FILIGRANA VERDE 1.00*1.80|PLA|Filigrana|VERDE|1.8|1|2.8|350|
P375|FILIGRANA VERDE 0.80*1.80|FILIGRANA VERDE 0.80*1.80|PLA|Filigrana|VERDE|1.8|0.8|2.8|381|
P374|FILIGRANA VERDE 0.70*1.80|FILIGRANA VERDE 0.70*1.80|PLA|Filigrana|VERDE|1.8|0.7|2.8|245|
P370|FILIGRANA AMBAR 1.20*1.80|FILIGRANA AMBAR 1.20*1.80|PLA|Filigrana|AMBAR|1.8|1.2|2.8|420|
P369|FILIGRANA AMBAR 1.00*1.80|FILIGRANA AMBAR 1.00*1.80|PLA|Filigrana|AMBAR|1.8|1|2.8|350|
P368|FILIGRANA AMBAR 0.80*1.80|FILIGRANA AMBAR 0.80*1.80|PLA|Filigrana|AMBAR|1.8|0.8|2.8|381|
P367|FILIGRANA AMBAR 0.70*1.80|FILIGRANA AMBAR 0.70*1.80|PLA|Filigrana|AMBAR|1.8|0.7|2.8|245|
P363|FILIGRANA AZUL 1.20*1.80|FILIGRANA AZUL 1.20*1.80|PLA|Filigrana|AZUL|1.8|1.2|2.8|420|
P362|FILIGRANA AZUL 1.00*1.80|FILIGRANA AZUL 1.00*1.80|PLA|Filigrana|AZUL|1.8|1|2.8|350|
P361|FILIGRANA AZUL 0.80*1.80|FILIGRANA AZUL 0.80*1.80|PLA|Filigrana|AZUL|1.8|0.8|2.8|381|
P360|FILIGRANA AZUL 0.70*1.80|FILIGRANA AZUL 0.70*1.80|PLA|Filigrana|AZUL|1.8|0.7|2.8|245|
P356|FILIGRANA HUMO 1.20*1.80|FILIGRANA HUMO 1.20*1.80|PLA|Filigrana|HUMO|1.8|1.2|2.8|420|
P355|FILIGRANA HUMO 1.00*1.80|FILIGRANA HUMO 1.00*1.80|PLA|Filigrana|HUMO|1.8|1|2.8|350|
P354|FILIGRANA HUMO 0.80*1.80|FILIGRANA HUMO 0.80*1.80|PLA|Filigrana|HUMO|1.8|0.8|2.8|381|
P353|FILIGRANA HUMO 0.70*1.80|FILIGRANA HUMO 0.70*1.80|PLA|Filigrana|HUMO|1.8|0.7|2.8|245|
P349|FILIGRANA OPALINO 1.20*1.80|FILIGRANA OPALINO 1.20*1.80|PLA|Filigrana|BLANCO|1.8|1.2|2.8|420|
P348|FILIGRANA OPALINO 1.00*1.80|FILIGRANA OPALINO 1.00*1.80|PLA|Filigrana|BLANCO|1.8|1|2.8|350|
P347|FILIGRANA OPALINO 0.80*1.80|FILIGRANA OPALINO 0.80*1.80|PLA|Filigrana|BLANCO|1.8|0.8|2.8|381|
P346|FILIGRANA OPALINO 0.70*1.80|FILIGRANA OPALINO 0.70*1.80|PLA|Filigrana|BLANCO|1.8|0.7|2.8|245|
P342|FILIGRANA CRISTAL 1.20*1.80|FILIGRANA CRISTAL 1.20*1.80|PLA|Filigrana|CRISTAL|1.8|1.2|2.8|420|
